slang,tamil,english,description
Nga,ங்க,Respectful suffix,Added even to small verbs (e.g. Sola-nga)
Angutu,அங்குட்டு,That side,Regional variant of 'Antha pakkam'
Ingutu,இங்குட்டு,This side,Regional variant of 'Intha pakkam'
Yembi,எம்பி,Brother,Informal way to address a younger brother or peer
Poitu-vren-nga,போயிட்டு வ்ரேன்ங்க,Goodbye,Vibrant Kongu polite farewell
Sollu-mbu,சொல்லும்பு,Tell,Regional way of saying 'Sollu'
Dhakka,தக்கா,Elder sister,Kongu/Salem specific address for sister
Maappu,மாப்பு,Friend,Short for Mappillai very common among peers
Enna-re,என்னாரே,What/How,Salem variant of asking what is happening
Ammoru,அம்மோரு,Mother,Local Kongu term for mom
