slang,tamil,english,description
Nga,ங்க,Respectful suffix,Universal Kongu polite ending
Yembi,எம்பி,Brother,Addresses younger brother or male friend
Ennathu-nga,என்னதுங்க,What,Kongu/Namakkal way of asking
Sollunga-nga,சொல்லுங்கங்க,Tell me,Double 'nga' for added politeness/rhythm
Anguttu,அங்குட்டு,That side,Wait/Go that way
Inguttu,இங்குட்டு,This side,Come this way
Maappu,மாப்பு,Machan/Friend,Addressing a peer
Inthu,இந்து,This,Kongu variant for 'Intha'
Anthu,அந்து,That,Kongu variant for 'Antha'
Kudu,குடு,Give,Used in a specific local tone in Namakkal/Salem belt
