slang,tamil,english,description
Aiyya,அய்யா,Father/Elder,Respectful Delta specific address
Saami,சாமி,Sir/Elder,Used to address elders (Delta tradition)
Enna-re,என்னாரே,What/Brother,Delta informal greeting
Varen-re,வாரேன்னே,I am coming,Delta/Nagapattinam common farewell
Anguttu,அங்குட்டு,That side,Direction marker
Inguttu,இங்குட்டு,This side,Direction marker
Pannu-nga,பண்ணுங்க,Do it,Respectful suffix 'nga' in Delta belt
Achi,ஆச்சி,Elder woman/Aunt,Delta specific address
Mappu,மாப்பு,Friend,Machan/Mappillai variation
Apparu,அப்பாரு,Father,Delta region variation for dad/elders
