slang,tamil,english,description
da,மதுரை தமிழ்: தா,Madurai Tamil: brother,
machan,மதுரை தமிழ்: மச்சான்,Madurai Tamil: buddy,
thambi,மதுரை தமிழ்: தம்பி,Madurai Tamil: brother,
ayya,மதுரை தமிழ்: அய்யா,Madurai Tamil: sir,
ponnu,மதுரை தமிழ்: பொண்ணு,Madurai Tamil: girl,
minakshi,மதுரை தமிழ்: மீனாக்ஷி,Madurai Tamil: Meenakshi,
temple,மதுரை தமிழ்: கோயில்,Madurai Tamil: temple,
prayer,மதுரை தமிழ்: பிரார்த்தனை,Madurai Tamil: prayer,
pilgrimage,மதுரை తмिল्: यात्रा,Madurai Tamil: pilgrimage,
devotion,मதுरai தмिл्: भक्ति,Madurai Tamil: devotion,
ancient,মাทுરҚ तमिل: पुरानो,Madurai Tamil: ancient,
history,മുരୁୟა தمิял: इतिहास,Madurai Tamil: history,
city,మదุરαต ಸುತмיз: शहर,Madurai Tamil: city,
palace,મদুรೆఈ तমिल: महल,Madurai Tamil: palace,
architecture,लदುৰყ తмिල: स्थापत्य,Madurai Tamil: architecture,
pandyan,मிُႏັုಂ ატთমíლ: पंड्यन्,Madurai Tamil: Pandya,
dynasty,మาთುರை तмიyl: राजवंश,Madurai Tamil: dynasty,
silk,მدུুٴ့ತumil: रेशम,Madurai Tamil: silk,
textiles,ທുುٴ့ັೇ තઈცుമิḷ: पाठ्य,Madurai Tamil: textiles,
jasmine,মदುરಛี તኬిើ: चमेली,Madurai Tamil: jasmine,
flower,ഉదുರۀ තມิԱ: फूल,Madurai Tamil: flower,
flower garland,মదुৰֱ tୀఝ_มึलҳ: फूलों की माला,Madurai Tamil: flower garland,
art,ማቴୁٿҳ ತмిለ: कला,Madurai Tamil: art,
culture,মদುฟੳ आтмільั: संस्कृति,Madurai Tamil: culture,
