slang,tamil,english,description
Vanthurkanga,வந்திருக்காங்க,They have come,Delta refined pronunciation
Aiyya,ஐயா,Sir/Refined address,Kumbakonam/Mayiladuthurai refined style
Saapdalamaa,சாப்பிடலாமா,Can we eat?,Refined question in Delta dialect
Enna Machi,என்ன மச்சி,What friend?,Standard youth term
Gethaa,கெத்தா,Stylishly,Modern urban slang in Mayiladuthurai
Summa,சும்மா,Just/Simply,Polite conversational filler
Poyittu Vaanga,போயிட்டு வாங்க,Go and come back,Standard respectful farewell
Nalla Irukkiyala,நல்ல இருக்கியா,Are you well?,Specific polite inquiry
Ammani,அம்மணி,Respected Lady,Traditional Delta address
Enna Panni,என்ன பண்ணி,What did you do?,Shortened Delta verb form
Rumba,ரொம்ப,Very/A lot,Standard Tamil but pronounced soft in Delta
Kadamai,கடமை,Duty,Used formally but sometimes ironically
Seringa Aiyya,சரிங்க ஐயா,Yes Sir,Classic polite Delta acceptance
Pochu,போச்சு,It's gone,Informal exclamation
Kasamusa,கசமுusa,Confused/Secretive,Same as Chennai but used in street slang
Thala,தல,Leader/Friend,Widespread youth term
Approm,அப்புறம்,Later/What else?,Common connector
Vaikurainga,வைக்கிறாங்க,They are keeping,Rural plural suffix influence
Vandhanurunga,வந்தானுருங்க,They came,Northern Delta border influence
Aagaattum,ஆகாட்டும்,Let it be/OK,Formal Delta acceptance

da,மயிலாதுரை தமிழ்: தா,Mayiladuthurai Tamil: brother,
ayya,मयीलாधुरा તমिल: सर,Mayiladuthurai Tamil: sir,
machan,મयीiંुरా తఇल्: दोस्त,Mayiladuthurai Tamil: buddy,
port,মयीલಾधुٴ تमిल: बंदरगाह,Mayiladuthurai Tamil: port,
coastal,દยीљાथುুಿ તmილ: തീര,Mayiladuthurai Tamil: coastal,
merchant,คയीᄾάుုาՆుിଦỔుఉဓूજेุೈుుტఈุలาἯேṉుુႏুုኌिული້ెُृుതුዓುুఊెुຸུుūుုఎುྭുთึುుūుුीுుୋుುɾుుᅀుుओുྪുుുుುುึుುᄐුुைುుುു,Mayiladuthurai Tamil: merchant,
fishing,മยีLാधುᠷীఇລผیഁ్तmিಂ: मछली पकड़ना,Mayiladuthurai Tamil: fishing,
