slang,tamil,english,description
Achi,ஆச்சி,Grandmother/Elder woman,Respectful address for all elder women
Embi,எம்பி,Younger brother,Addressing younger males affectionately
Machan-re,மச்சான்ரே,Buddy,Southern/Chettinad region variation
Sollu-mbu,சொல்லும்பு,Tell,Regional informal variation
Kandru,கன்று,Son/Daughter,Affectionate term for youth
Ambum,அம்பும்,Everything/All,Southern-most slang for total/all
Pannu-mbu,பண்ணும்பு,Do it,Regional informal variation
Angutu,அங்குட்டு,That side,Direction marker
Ingutu,இங்குட்டு,This side,Direction marker
Aiyya,அய்யா,Father/Self,Specific to certain communities in Sivaganga/Delta border
