slang,tamil,english,description
da,தர்மபுரி தமிழ்: தா,Dharmapuri Tamil: brother,
ayya,தர்மபுரி தமிழ்: அய்யா,Dharmapuri Tamil: sir,
machan,தர்மபுரி தமிழ்: மச்சான்,Dharmapuri Tamil: buddy,
chetta,தர்மபுரி தமிழ்: சேட்டா,Dharmapuri Tamil: friend,
mountain,தர்மபுரி தமிழ்: மலை,Dharmapuri Tamil: mountain,
forest,தர்மபுரி தமிழ்: காடு,Dharmapuri Tamil: forest,
hill,தர்மபுரி தமிழ்: குன்று,Dharmapuri Tamil: hill,
valley,தர்மபுரி தமிழ்: பள்ளம்,Dharmapuri Tamil: valley,
river,தர்மபுரி தமிழ்: ஆறு,Dharmapuri Tamil: river,
stone,தர்மபுரி தமிழ்: கல்,Dharmapuri Tamil: stone,
rock,தர்மபுரி தமிழ்: பாறை,Dharmapuri Tamil: rock,
clay,தர்மபுரி தமிழ்: மண்,Dharmapuri Tamil: clay,
sand,தர்மபுரி தமிழ்: மணல்,Dharmapuri Tamil: sand,
gold,தர்மபுரி தமிழ்: பொன்,Dharmapuri Tamil: gold,
mine,தர்மபுரி தமிழ்:광산,Dharmapuri Tamil: mine,
quarry,தர்மபுரி தமிழ்: கல்லுமி,Dharmapuri Tamil: quarry,
tree,தர்மபுரி தமிழ்: மரம்,Dharmapuri Tamil: tree,
flower,தர்மபுரி தமிழ்: பூ,Dharmapuri Tamil: flower,
fruit,தர்மபுரி தமிழ்: பழம்,Dharmapuri Tamil: fruit,
leaf,தர்மபுரி தமிழ்: இலை,Dharmapuri Tamil: leaf,
animal,தர்மபுரி தமிழ்: விலங்கு,Dharmapuri Tamil: animal,
tiger,தர்மபுரி தமிழ்: புலி,Dharmapuri Tamil: tiger,
elephant,தர்மபுரி தமிழ்: யானை,Dharmapuri Tamil: elephant,
deer,தர்மபுரி தமிழ்: மான்,Dharmapuri Tamil: deer,
wild,தர்மபுரி தமிழ்: காட்டான,Dharmapuri Tamil: wild,
temple,தர்மபுரி தமிழ்: கோயில்,Dharmapuri Tamil: temple,
prayer,தர்மபுரி தமிழ்: பிரார்த்தனை,Dharmapuri Tamil: prayer,
god,தர்மபுரி தமிழ்: கடவுள்,Dharmapuri Tamil: god,
sacred,தர்மபுரி தமிழ்: புனிதம்,Dharmapuri Tamil: sacred,
pilgrimage,தர்மபுரி தமிழ்: யாத்ரை,Dharmapuri Tamil: pilgrimage,
