=== SLANG STATISTICS REPORT ===
TOTAL SLANGS: 495

Ariyalur: 20 slangs
Chengalpattu: 20 slangs
Chennai: 24 slangs
Coimbatore: 21 slangs
Cuddalore: 42 slangs
Dharmapuri: 10 slangs
Dindigul: 5 slangs
Erode: 10 slangs
Kallakurichi: 20 slangs
Kanchipuram: 26 slangs
Kanyakumari: 10 slangs
Karur: 23 slangs
Krishnagiri: 10 slangs
Madurai: 21 slangs
Mayiladuthurai: 27 slangs
Nagapattinam: 10 slangs
Namakkal: 10 slangs
Nilgiris: 10 slangs
Perambalur: 5 slangs
Pudukottai: 10 slangs
Ramanathapuram: 10 slangs
Ranipet: 5 slangs
Salem: 10 slangs
Sivaganga: 10 slangs
Tenkasi: 5 slangs
Thanjavur: 20 slangs
Theni: 5 slangs
Thoothukudi: 10 slangs
Tiruchirappalli: 10 slangs
Tirunelveli: 21 slangs
Tirupattur: 5 slangs
Tiruppur: 10 slangs
Tiruvallur: 5 slangs
Tiruvannamalai: 5 slangs
Tiruvarur: 10 slangs
Vellore: 10 slangs
Viluppuram: 5 slangs
Virudhunagar: 5 slangs
