slang,tamil,english,description
machan,சென்னை தமிழ்: மச்சான்,Chennai Tamil: buddy,
da,சென்னை தமிழ்: தா,Chennai Tamil: brother,
kettanunga,சென்னை தமிழ்: கெட்டனுங்க,Chennai Tamil: guys,
payale,சென்னை தமிழ்: பாயாளே,Chennai Tamil: foolish guy,
semma,சென்னை தமிழ்: செம்மா,Chennai Tamil: great,
thaan,சென்னை தமிழ்: தான்,Chennai Tamil: yourself,
koothu,சென்னை தமிழ்: கூத்து,Chennai Tamil: drama,
mogam,சென்னை தமிழ்: மோகம்,Chennai Tamil: craze,
appidi,சென்னை தமிழ்: அப்பிடி,Chennai Tamil: like that,
ennada,சென்னை தமிழ்: என்னாடா,Chennai Tamil: what da,
sariya,சென்னை தமிழ்: சரியா,Chennai Tamil: okay,
vandha,சென்னை தமிழ்: வந்தா,Chennai Tamil: came,
poi,சென்னை தமிழ்: பொய்,Chennai Tamil: lie,
thakali,சென்னை தமிழ்: தாக்கலி,Chennai Tamil: slap/hit,
vaanga,சென்னை தமிழ்: வாங்கா,Chennai Tamil: come,
poda,சென்னை தமிழ்: போடா,Chennai Tamil: go away,
sollu,சென்னை தமிழ்: சொல்லு,Chennai Tamil: tell,
unga,சென்னை தமிழ்: உங்க,Chennai Tamil: your,
enakku,சென்னை தமிழ்: எனக்கு,Chennai Tamil: to me,
avaruku,சென்னை தமிழ்: அவருக்கு,Chennai Tamil: to him/her,
mooditu,சென்னை தமிழ்: முடிச்சுட்டு,Chennai Tamil: finished,
sollittu,சென்னை தமிழ்: சொல்லிச்சுட்டு,Chennai Tamil: told,
chettai,சென்னை தமிழ்: செட்டை,Chennai Tamil: disappointed,
ayya,சென்னை தமிழ்: அய்யா,Chennai Tamil: sir,
tambi,சென்னை தமிழ்: தம்பி,Chennai Tamil: brother,
amma,சென்னை தமிழ்: அம்மா,Chennai Tamil: mom,
akka,சென்னை தமிழ்: அக்கா,Chennai Tamil: sister,
thatha,சென்னை தமிழ்: தாத்தா,Chennai Tamil: grandpa,
paati,சென்னை தமிழ்: பாட்টி,Chennai Tamil: grandma,
kundam,சென்னை தமிழ்: குண்டம்,Chennai Tamil: potbelly,
meera,சென்னை தமிழ்: மீரா,Chennai Tamil: smart,
theenda,சென்னை தமிழ்: தீந்தா,Chennai Tamil: daring,
vetti,சென்னை தமிழ்: வெட்டி,Chennai Tamil: useless,
makka,சென்னை தமிழ்: மக்கா,Chennai Tamil: man,
ponnu,சென்னை தமிழ்: பொண்ணு,Chennai Tamil: girl,
oor,சென்னை தமிழ்: ஊர்,Chennai Tamil: town,
veedu,சென்னை தமிழ்: வீடு,Chennai Tamil: house,
katai,சென்னை தமிழ்: கடை,Chennai Tamil: shop,
sandhai,சென்னை தமிழ்: சந்தை,Chennai Tamil: market,
nool,சென்னை தமிழ்: நூல்,Chennai Tamil: string,
pottu,சென்னை தமிழ்: பொட்டு,Chennai Tamil: packet,
karambu,சென்னை தமிழ்: கரம்பு,Chennai Tamil: sugarcane,
neerum,சென்னை தமிழ்: நீரும்,Chennai Tamil: water,
saadan,சென்னை தமிழ்: சாதான்,Chennai Tamil: usual,
matta,சென்னை தமிழ்: மட்டா,Chennai Tamil: only,
ellam,சென்னை தமிழ்: எல்லாம்,Chennai Tamil: all,
onnu,சென்னை தமிழ்: ஒன்னு,Chennai Tamil: one,
randu,சென்னை தமிழ்: ரெண்டு,Chennai Tamil: two,
moonnu,சென்னை தமிழ்: மூணு,Chennai Tamil: three,
nallla,சென்னை தமிழ்: நல்லா,Chennai Tamil: good,
kettana,சென்னை தமிழ்: கெட்டனா,Chennai Tamil: bad,
puyala,சென்னை தமிழ்: பூயாளா,Chennai Tamil: stink,
odum,சென்னை தமிழ்: ஓடும்,Chennai Tamil: runs,
nadundhu,சென்னை தமிழ்: நடுந்து,Chennai Tamil: walks,
okkandhu,சென்னை தமிழ்: ஒக்கந்து,Chennai Tamil: squats,
