slang,tamil,english,description
Achi,ஆச்சி,Grandmother/Elder woman,Respectful address (Transitions to Delta)
Embi,எம்பி,Younger brother,Addressing younger males affectionately
Nga,ங்க,Respectful suffix,Kongu influence (Western part)
Aiyya,அய்யா,Father/Self,Pudukottai tradition
Mappu,மாப்பு,Friend,Machan/Mappillai variation
Angutu,அங்குட்டு,That side,Direction marker
Ingutu,இங்குட்டு,This side,Direction marker
Vren-re,வ்ரேன்ரே,Coming,Pudukottai common suffix
Sollu-mbu,சொல்லும்பு,Tell,Pudukottai/Central variation
Poitu-vren-nga,போயிட்டு வ்ரேன்ங்க,Goodbye,Respectful farewell transition
