slang,tamil,english,description
da,tirunelveli_da,Tirunelveli Tamil: brother,
ayya,tirunelveli_ayya,Tirunelveli Tamil: sir,
machan,tirunelveli_machan,Tirunelveli Tamil: buddy,
temple,tirunelveli_temple,Tirunelveli Tamil: temple,
spice,tirunelveli_spice,Tirunelveli Tamil: spice,
Yele,நெல்லை தமிழ்: ஏலே,Tirunelveli Tamil: Hey You,Classic Nellai greeting for peers
Annachi,நெல்லை தமிழ்: அண்ணாச்சி,Tirunelveli Tamil: Elder Brother,Respectful address for elders
Vekkai,நெல்லை தமிழ்: வெக்கை,Tirunelveli Tamil: Heat,Specific word for humid heat in Nellai
Makkal,நெல்லை தமிழ்: மக்கள்,Tirunelveli Tamil: People/Friends,Nellai way of addressing a group
Thala,நெல்லை தமிழ்: தல,Tirunelveli Tamil: Leader/Friend,Common slang in southern districts
Yele,Tirunelveli தமிழ்: ஏலே,Tirunelveli Tamil: Hey Buddy,The absolute signature Nellai slang
Annachi,Tirunelveli தமிழ்: அண்ணாச்சி,Tirunelveli Tamil: Elder/Respected,How elders are addressed in Nellai/Tuticorin
Vekkai,Tirunelveli தமிழ்: வெக்கை,Tirunelveli Tamil: Humidity,Refers to the unique southern heat
Ingeettu,Tirunelveli தமிழ்: இங்கீட்டு,Tirunelveli Tamil: Over here,Specific Nellai directional dialect
Thala,Tirunelveli தமிழ்: தல,Tirunelveli Tamil: Leader/Mate,Common street-smart slang used widely in Nellai/Madurai
