slang,tamil,english,description
Lede,லேடே,Brother/Friend,Thoothukudi shoreline influence (Hey)
Aai,ஆய்,Mother,Fishermen/Coastal slang for mom
Appa,அப்பா,Father/Sir,Coastal variation
Karamu,கரமு,Anchor/Rope,Maritime influence in daily slang
Meenu,மீனு,Fish/Easy catch,Sometimes used for easy money/goal
Thorthu,தோர்த்து,Towel,Malayalam/Coastal influence
Uruvi,உருவி,Taken/Pulled,Pulled/Taken away something quickly
Vaada-re,வாடாரே,Come brother,Suffix 're' common in Southern coast
Kaikula,கைகுல,In hand,Refers to fishing nets/daily earnings
Appolthulla,அப்பொள்துல்லா,Then/At that time,Coastal Kumaresan influence
