slang,tamil,english,description
Nga,ங்க,Respectful suffix,Universal polite ending
Kudu,குடு,Give/Put,Hill station influence/common slang
Maappu,மாப்பு,Friend,Machan/Mappillai variation
Angutu,அங்குட்டு,That side,Direction marker
Ingutu,இங்குட்டு,This side,Direction marker
Hattu,ஹாட்டு,Place/Village,Badaga/Hill station slang influence
Amma-re,அம்மாரே,Mother/Elder lady,Hill station local term
Vren-nga,வ்ரேன்ங்க,Coming,Variant of Varugiren
Pannu-re,பண்ணுரே,Do it,Hill station informal variation
Enna-ppa,என்னப்பா,What friend,General Nilgiris greeting for peers
