slang,tamil,english,description
Achi,ஆச்சி,Grandmother/Elder woman,Respectful address for all elder women
Embi,எம்பி,Younger brother,Addressing younger males affectionately
Vaada-mbu,வாடாம்பு,Come friend,Local variation for friends
Enna-ppa,என்னப்பா,What friend/dad,Dual use for dad and friends
Kandru,கன்று,Child/Son/Daughter,Affectionate term for youth
Uruppadi,உருப்படி,One unit/Thing,Commonly used for specific items
Pichuvren,பிச்சுவ்றேன்,I'll beat you,Local common threat/informal
Thirumba,திரும்ப,Again,Specific tone used in Ramnad region
Vaaren-ne,வாரேன்னே,I am coming brother,Southern-most common greeting/farewell
Aiyya,அய்யா,Father/Self,Specific to certain communities in Ramnad/Sivaganga
