slang,tamil,english,description
Nga,ங்க,Respectful suffix,Universal Kongu polite ending
Vaannu,வாண்ணு,Come (plural/respect),Variant of 'Vaanga'
Saapdu-mbu,சாப்டும்பு,Eat,Kongu/Erode informal command
Oda-nga,ஓடங்க,Run,Adding 'nga' to action verbs for politeness
Inguttu,இங்குட்டு,This side,Kongu direction marker
Anguttu,அங்குட்டு,That side,Kongu direction marker
Seira-nga,செய்றாங்க,They are doing,Kongu phonetic variation
Machan-nga,மச்சான்ங்க,Buddies,Addressing friends respectfully
Apparu,அப்பாரு,Father,Erode/Kongu variation for dad
Dhakka,தக்கா,Sister,Common in Erode/Western region for elder sister
