slang,tamil,english,description
Gethu,கெத்து,Style/Attitude,Common North/Dharmapuri cool factor
Kudu,குடு,Give/Put,Kannada influence: Used for putting or giving
Yembi,எம்பி,Brother,Addresses younger friend/brother
Enna-re,என்னாரே,What/Brother,Northern informal greeting for friends
Ho,ஹோ,What/Is it,Commonly added to questions (Kannada influence)
Ingittu,இங்கிட்டு,This side,Variation of 'Ingu'
Angittu,அங்கிட்டு,That side,Variation of 'Angu'
Machan-re,மச்சான்ரே,Buddy,Regional suffix variation
Pannre,பண்ரே,Do it,North region informal variation
Vangre,வாங்ரே,I am coming,Variant of 'Varugiren' in North Dharmapuri belt
