slang,tamil,english,description
da,கூடலூர் தமிழ்: தா,Cuddalore Tamil: brother,
ayya,கூடலூர் தமிழ்: அய்யா,Cuddalore Tamil: sir,
amma,கூடலூர் தமிழ்: அம்மா,Cuddalore Tamil: mom,
tambi,கூடலூர் தமிழ்: தம்பி,Cuddalore Tamil: brother,
machan,கூடலூர் தமிழ்: மச்சான்,Cuddalore Tamil: buddy,
ponnu,கூடலூர் தமிழ்: பொண்ணு,Cuddalore Tamil: girl,
sahib,கூடலூர் தமிழ்: சாஹிப்,Cuddalore Tamil: master,
village,கூடலூர் தமிழ்: வூர்,Cuddalore Tamil: village,
paddy,கூடலூர் தமிழ்: நெல்,Cuddalore Tamil: paddy,
field,கூடலூர் தமிழ்: வயல்,Cuddalore Tamil: field,
well,கூடலூர் தமிழ்: கிணறு,Cuddalore Tamil: well,
water,கூடலூர் தமிழ்: நீர்,Cuddalore Tamil: water,
ocean,கூடலூர் தமிழ்: கடல்,Cuddalore Tamil: ocean,
beach,கூடலூர் தமிழ்: கரை,Cuddalore Tamil: beach,
fishing,கூடலூர் தமிழ்: மீன் பிடி,Cuddalore Tamil: fishing,
net,கூடலூர் தமிழ்: வலை,Cuddalore Tamil: net,
boat,கூடலூர் தமிழ்: படி,Cuddalore Tamil: boat,
ship,கூடலூர் தமிழ்: கപ்பல்,Cuddalore Tamil: ship,
temple,கூடலூர் தமிழ்: கோயில்,Cuddalore Tamil: temple,
worship,கூடலூர் தமிழ்: பூஜை,Cuddalore Tamil: worship,
festival,கூடலூர் தமிழ்: திருவிழா,Cuddalore Tamil: festival,
harvest,கூடலூர் தமிழ்: அறுவடை,Cuddalore Tamil: harvest,
crop,கூடலூர் தமிழ்: பயிர்,Cuddalore Tamil: crop,
farmer,கூடலூர் தமிழ்: விவசாயி,Cuddalore Tamil: farmer,
bullock,கூடலூர் தமிழ்: எருமை,Cuddalore Tamil: bullock,
cattle,கூடலூர் தமிழ்: மாடு,Cuddalore Tamil: cattle,
cow,கூடலூர் தமிழ்: பசு,Cuddalore Tamil: cow,
goat,கூடலூர் தமிழ்: ஆடு,Cuddalore Tamil: goat,
chicken,கூடலூர் தமிழ்: கோழி,Cuddalore Tamil: chicken,
market,கூடலூர் தமிழ்: சந்தை,Cuddalore Tamil: market,
shop,கூடலூர் தமிழ்: கடை,Cuddalore Tamil: shop,
work,கூடலூர் தமிழ்: வேலை,Cuddalore Tamil: work,
rest,கூடலூர் தமிழ்: ஓய்வு,Cuddalore Tamil: rest,
sleep,கூடலூர் தமிழ்: உறக்கம்,Cuddalore Tamil: sleep,
wake,கூடலூர் தமிழ்: விழித்태ழ,Cuddalore Tamil: wake,
morning,கூடலூர் தமிழ்: காலை,Cuddalore Tamil: morning,
evening,கூடலூர் தமிழ்: மாலை,Cuddalore Tamil: evening,
night,கூடலூர் தமிழ்: இரவு,Cuddalore Tamil: night,
day,கூடலூர் தமிழ்: நாள்,Cuddalore Tamil: day,
week,கூடலூர் தமிழ்: வாரம்,Cuddalore Tamil: week,
month,கூடலூர் தமிழ்: மாதம்,Cuddalore Tamil: month,
year,கூடலூர் தமிழ்: வருசம்,Cuddalore Tamil: year,
