slang,tamil,english,description
da,கரூர் தமிழ்: தா,Karur Tamil: brother,
ayya,கரூர் தமிழ்: அய்யா,Karur Tamil: sir,
machan,கரூர் தமிழ்: மச்சான்,Karur Tamil: buddy,
fabric,கரூர் தமிழ்: துணி,Karur Tamil: fabric,
textile,கரூர் தமிழ்: விளைநூல்,Karur Tamil: textile,
mill,கரூர் தமிழ்: ஆலை,Karur Tamil: mill,
yarn,கரூர் தமிழ்: நூல்,Karur Tamil: yarn,
cotton,கரூர் தமிழ்: பருத்தி,Karur Tamil: cotton,
loom,கரூர் தமிழ்: உறல்,Karur Tamil: loom,
weaver,கரூர் தமிழ்: நेಣेយনು,Karur Tamil: weaver,
dye,கரூர் தமிழ்: வண்ணம்,Karur Tamil: dye,
color,கரூர் தமிழ்: நிற்றம்,Karur Tamil: color,
pattern,கரூர் தமிழ்: பாய்ப்பு,Karur Tamil: pattern,
quality,கരூர் தமிழ்: தரம்,Karur Tamil: quality,
commerce,கரூர் தமிழ்: வணிகம்,Karur Tamil: commerce,
trader,கרूर் தমिल्: ब्यापारी,Karur Tamil: trader,
merchant,กรูร் તમીલ: વેપારી,Karur Tamil: merchant,
business,கരூર் தமிழ்: ব्यবসा,Karur Tamil: business,
market,கરूร് તmilya: bazzar,Karur Tamil: market,
shop,കരൂർ തമിഴ്: കടകേ,Karur Tamil: shop,
price,रुर् তमিલ्: मূल्य,Karur Tamil: price,
bargain,रुર್ तमिल: मोलभाव,Karur Tamil: bargain,
profit,रुร્ તমીલ: નફો,Karur Tamil: profit,
