slang,tamil,english,description
Nga,ங்க,Respectful suffix,Universal polite ending
Aiyya,அய்யா,Father/Elder,Respectful Central address
Achi,ஆச்சி,Elder woman/Aunt,Central specific address
Mappu,மாப்பு,Friend,Machan/Mappillai variation
Angutu,அங்குட்டு,That side,Direction marker
Ingutu,இங்குட்டு,This side,Direction marker
Vren-nga,வ்ரேன்ங்க,Coming,Central Trichy formal variant
Enna-re,என்னாரே,What/Brother,Central informal greeting
Sollunga-nga,சொல்லுங்கங்க,Tell me,Double 'nga' for added politeness
Apparu,அப்பாரு,Father,Central region variation for dad/elders
