slang,tamil,english,description
da,கஞ்சிபுரம் தமிழ்: தா,Kanchipuram Tamil: brother,
thambi,கஞ்சிபுரம் தமிழ்: தம்பி,Kanchipuram Tamil: brother,
ayya,கஞ்சிபுரம் தமிழ்: அய்யா,Kanchipuram Tamil: sir,
machan,கஞ்சிபுரம் தமிழ்: மச்சான்,Kanchipuram Tamil: buddy,
temple,கஞ்சிபுரம் தமிழ்: கோயில்,Kanchipuram Tamil: temple,
silk,கஞ்சிபுரம் தமிழ்: பட்டு,Kanchipuram Tamil: silk,
weaving,கஞ்சிபுரம் தமிழ்: நेಣेಯುटು,Kanchipuram Tamil: weaving,
cloth,கஞ்சிபுரம் தமிழ்: துணி,Kanchipuram Tamil: cloth,
sari,கஞ்சிபுரம் தமிழ்: சேலை,Kanchipuram Tamil: sari,
saree,கஞ்சிபுरम் தமિ: સાड़ी,Kanchipuram Tamil: saree,
weaver,கஞ்சிபுरम் தमिल्: बुनकร,Kanchipuram Tamil: weaver,
texture,கஞ்చിपुরम् तมिл्: बनावट,Kanchipuram Tamil: texture,
pattern,கஞ்චिपुरम् तमिл्: पिटेर्न,Kanchipuram Tamil: pattern,
design,கஞ்చിपुরம् तमिल्: डिજાઇન,Kanchipuram Tamil: design,
art,कंचिपुरम तमिल: कला,Kanchipuram Tamil: art,
craftsmanship,कंचिपुरम तमिल: दक्षता,Kanchipuram Tamil: craftsmanship,
ancient,कंचिपुरम तमिल: पुरानो,Kanchipuram Tamil: ancient,
historical,कंचिपुरम तمिল: ऐतिहासिक,Kanchipuram Tamil: historical,
pilgrimage,கஞ்சிપुരം தமிழ்: யாத்ரை,Kanchipuram Tamil: pilgrimage,
devotion,कंचिपुरम तमिल: भक्ति,Kanchipuram Tamil: devotion,
prayer,कंचिपुरम तमिल: प्रार्थना,Kanchipuram Tamil: prayer,
worship,कंचिपुरम तमिल: पूजा,Kanchipuram Tamil: worship,
festival,कंचिपुरम तमिल: त्योहार,Kanchipuram Tamil: festival,
culture,कंचिपुरम तमिल: संस्कृति,Kanchipuram Tamil: culture,
tradition,कंचिपुरम तमिल: परम्परा,Kanchipuram Tamil: tradition,
heritage,கஞ்சிபுरम् தมிल्: धरोहर,Kanchipuram Tamil: heritage,
