slang,tamil,english,description
da,கன்னியाकுமारி தமிழ்: தா,Kanyakumari Tamil: brother,
ayya,கன்னியாகுமாരி தமிழ்: அய்யா,Kanyakumari Tamil: sir,
machan,கன்னியாకுமாரி தமிழ்: மச்சான்,Kanyakumari Tamil: buddy,
cape,கன்னியாகுமாரி தமிழ்: மூலை,Kanyakumari Tamil: cape,
ocean,கன்னியாகுமாரி தமிழ்: கடல்,Kanyakumari Tamil: ocean,
fishing,கன்னியாகுமாரி தமிழ்: மீன்பிடி,Kanyakumari Tamil: fishing,
coconut,கன்னியாகுமாரி தமிழ்: தேங்காய்,Kanyakumari Tamil: coconut,
spice,கன்னியாகுமாரி தமிழ்: மசாலா,Kanyakumari Tamil: spice,
pepper,கன்னியாகுமாரி தமிழ்: மிளகு,Kanyakumari Tamil: pepper,
tropical,கன்னியாகுமாரி தமிழ்: வெப்ப மண்டல,Kanyakumari Tamil: tropical,
south,கன்னியாகுமாரி தமிழ்: தென்,Kanyakumari Tamil: south,
southernmost,கன்னியாகுமாரி தமிழ்: தெனாடை,Kanyakumari Tamil: southernmost,
tip,கன்னியாகுமாரி தமிழ்: முனை,Kanyakumari Tamil: tip,
sunset,கன்னியாகுமாரி தமிழ்: சூரியாஸ்தமனம்,Kanyakumari Tamil: sunset,
sunrise,கன்னியாகுமாரி தமிழ்: சூரியோதயம்,Kanyakumari Tamil: sunrise,
beach,கன்னியாகுமாரி தமிழ்: கரை,Kanyakumari Tamil: beach,
sand,கன்னியாகுமாரி தமிழ்: மணல்,Kanyakumari Tamil: sand,
wave,கன்னியாகுமாரி தமிழ்: அலை,Kanyakumari Tamil: wave,
monsoon,கன்னியாகுமாரி தமிழ்: மழை காலம்,Kanyakumari Tamil: monsoon,
wind,கன்னியாகுமாரி தமிழ்: காற்று,Kanyakumari Tamil: wind,
salt,கன்னியாகுமாரி தமிழ்: உப்பு,Kanyakumari Tamil: salt,
trade,கன்னியாகுமாரி தமிழ்: வாணिज்य,Kanyakumari Tamil: trade,
merchant,கன்னியாகுமாரி தமிழ்: வணிகன்,Kanyakumari Tamil: merchant,
port,கன்னியாகுமாரி தமிழ்: துறை,Kanyakumari Tamil: port,
ship,கன்னியாகுமாரி தமிழ்: கப்பல்,Kanyakumari Tamil: ship,
