slang,tamil,english,description
Vanthuruvaunga,வந்துருவாங்க,They will come,Strong Kallakurichi plural suffix 'unga'
Poyiraurunga,போயிருருங்கா,They have gone,Characteristic plural suffix 'urunga'
Yenna Sanda,என்ன சண்டை,What's the fight?,Common street confrontation
Annainga,அண்ணைங்க,Brothers,Respectful plural address in Kallakurichi
Saapidunga,சாப்பிடுங்க,Eat (Plural),Polite plural suffix
Kallu Kattu,கல்லு கட்டு,Heavy/Sturdy,Used in Viluppuram/Kallakurichi context
Oram Kattu,ஓரம் கட்டு,Move/Keep aside,Common street instruction
Ennamma,என்னம்மா,What mother/lady?,Universal polite address
Maanaa,மானா,Come/Go (Person),Specific rural person marker
Vaappaa,வாப்பா,Come man (Male),North TN friendly address
Gethaa Iru,கெத்தா இரு,Be stylish/bold,Modern regional youth slang
Approm,அப்புறம்,What else?,Filler conversationally
Summa Soniya,சும்மா சோனியா,Just joking/Simply saying,Regional phrase variation
Seringapa,சரிங்கப்பா,Alright man,Common respectful agreement
Enna Naa,என்ன நா,What brother?,General shortened address
Appu,அப்பு,Son/Boy,Specific child/younger person address
Ponu,போணு,Go,Shortened version of 'Poga vendum'
Vandhurunga,வந்துருங்க,Come (respectful),Suffix standard in transition zones
Aiyya,ஐயா,Sir/Respectful term,Standard in northern rural Tamil
Sema Macha,செம மச்சா,Great buddy,Modern street slang
