slang,tamil,english,description
Gethu,கெத்து,Style/Attitude,Common North/Vellore cool factor
Kudu,குடு,Give/Put,Kannada influence: Used for putting or giving
Enna-re,என்னாரே,What/Brother,Northern informal greeting for friends
Naina,நைனா,Elder/Sir,Respectful address for an elder (Chennai influence)
Baadu,பாடு,Friend/Buddy,Common casual address in North Tamil Nadu
Bejaar,பெஜார்,Trouble/Disturbance,When something is irritating
Chumma-re,சும்மாரே,Just simply,Suffix 're' common in North transition
Pannu-re,பண்ணுரே,Do it,North region informal variation
Vren,வ்ரேன்,Coming,Short form used in Northern/Vellore belt
Thakudu,தகுடு,Sheet/Layer,Slang for something thin or cheap/fake
