slang,tamil,english,description
Baadu,பாடு,Friend/Buddy,Common casual address in North Chennai
Kasu Panam,காசு பணம்,Money/Wealth,Chennai slang for cash
Bejaar,பெஜார்,Trouble/Disturbance,When something is irritating
Gethu,கெத்து,Style/Attitude,Showing off or being cool
Maja,மஜா,Fun/Enjoyment,Used for a fun situation
Dubakoor,டுபாகூர்,Fake/Fraud,Someone who lies or is a fake
Peter,பீட்டர்,Fake English,Someone who speaks English to show off
Naina,நைனா,Elder/Sir,Respectful address for an elder man
Nashtaa,நாஷ்டா,Breakfast,Heavily used in Chennai (Hindi influence)
Vootla,ஊட்ல,At home,Chennai dialect for 'Veetil'
Innaki,இன்னைக்கி,Today,Standard Chennai pronunciation
Vaadi,வாடி,Come (Female),Informal address to a girl
Oram Po,ஓரம் போ,Get aside,Famous Chennai phrase from road side
Kasmalam,கஸ்மலம்,Dirty/Waste,Used as a mild abuse or for someone useless
Sema,செம,Great/Awesome,General exclamation for anything good
Kasamusa,கசமுசா,Messy/Secretive,Something confusing or suspicious
Venaam,வேணாம்,Don't want,Common Chennai pronunciation
Approm,அப்புறம்,Afterwards,Frequent conversation filler
Enna Naina,என்ன நைனா,What's up sir?,Classic North Chennai greeting
Aadu,ஆடு,Play/Dance,Casual term for having fun or active stuff
Gilli,கில்லி,Expert/Sharp,Someone who is very skilled in something
Gaali,காலி,Finished/Empty,Used when things are over
Otha,ஒத்த,Single/Unique,Heavily used as a filler or exclamation
Nalla Irukkiya,நல்லா இருக்கியா,Are you fine?,Typical Chennai greeting
