slang,tamil,english,description
da,coimbatore_da,Coimbatore Tamil: brother,
ayya,coimbatore_ayya,Coimbatore Tamil: sir,
machan,coimbatore_machan,Coimbatore Tamil: buddy,
textile,coimbatore_textile,Coimbatore Tamil: textile,
city,coimbatore_city,Coimbatore Tamil: city,
Ennanga,கோவை தமிழ்: என்னங்க,Coimbatore Tamil: What (Polite),Polite way of asking What in Kongu Tamil
Vanga,கோவை தமிழ்: வாங்க,Coimbatore Tamil: Come (Polite),Standard polite greeting
Ponga,கோவை தமிழ்: போங்க,Coimbatore Tamil: Go (Polite),Polite way of asking to leave
Aamaunga,கோவை தமிழ்: ஆமாங்க,Coimbatore Tamil: Yes (Polite),Standard polite agreement
Engungattinga,கோவை தமிழ்: எங்குங்காட்டிங்க,Coimbatore Tamil: Where?,Kongu dialect for asking location
Thambinga,Coimbatore தமிழ்: தம்பிங்க,Coimbatore Tamil: Brother (Polite),The classic Kongu polite address
Aamaunga,Coimbatore தமிழ்: ஆமாங்க,Coimbatore Tamil: Yes (Respectful),Standard Kongu suffix used in Erode/Salem too
Vanganga,Coimbatore தமிழ்: வாங்கங்க,Coimbatore Tamil: Please come,Polite greeting characteristic of the region
Kandippaunga,Coimbatore தமிழ்: கண்டிப்பாங்க,Coimbatore Tamil: Definitely,Showing respect while agreeing
Oru nimishamnga,Coimbatore தமிழ்: ஒரு நிமிஷங்க,Coimbatore Tamil: One minute please,Polite interruption
