slang,tamil,english,description
Nga,ங்க,Respectful suffix,Universal Kongu polite ending
Yembi,எம்பி,Brother,Addresses younger brother or male friend
Sollu-mbu,சொல்லும்பு,Tell,Tiruppur/Kongu informal command
Maappu,மாப்பு,Friend,Common suffix for buddy
Kattu,கட்டு,Tie/Pack,Heavily used in textile contexts (Informal)
Vren-nga,வ்ரேன்ங்க,Coming,Variant of Varugiren
Angutu,அங்குட்டு,That side,Wait/Go that way
Ingutu,இங்குட்டு,This side,Come this way
Pannunga-nga,பண்ணுங்கங்க,Do it,Double 'nga' for added politeness/rhythm
Ammoru,அம்மோரு,Mother,Regional Southern Kongu term for mom
